bootstrap_B,bootstrap_unit,ci_high,ci_low,cohort,condition_a,condition_b,dataset,effect,effect_sign_definition,estimand,evidence_tier,experiment_id,figure_target,manuscript_use,mean_a,mean_b,metric,model,n_families,n_files,n_seeds,notes,p_adjusted,p_raw,protocol,recompute_allowed,relative_effect,result_family_id,result_id,section_role,status,table_target,unit
,,,,LMD full universe; frozen reference graph,file-level baseline,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,0.2940007476552151,,test-family contamination,not_applicable,140427,178561,100, Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_FN,imperfect_inference_file_level_baseline_test_family_contamination,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,rate
,,,,LMD full universe; frozen reference graph,perfect reference graph,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,0.0,,residual known cross-split families,not_applicable,140427,178561,100,Upper-bound reference-graph condition. Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_FN,imperfect_inference_perfect_reference_residual,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,known family count
,,376.0,311.425,LMD full universe; frozen reference graph,simulated adopted-edge recall 0.95,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,343.92,,residual known cross-split families,not_applicable,140427,178561,100,95% interval is empirical across simulation seeds. Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_FN,imperfect_inference_recall_0_95_residual,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,known family count
,,,,LMD full universe; frozen reference graph,simulated adopted-edge recall 0.95,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,0.9233779868425539,,pairwise same-family recall,not_applicable,140427,178561,100, Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_FN,imperfect_inference_recall_0_95_pairwise_recall,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,rate
,,716.625,635.475,LMD full universe; frozen reference graph,simulated adopted-edge recall 0.90,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,675.26,,residual known cross-split families,not_applicable,140427,178561,100,95% interval is empirical across simulation seeds. Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_FN,imperfect_inference_recall_0_90_residual,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,known family count
,,,,LMD full universe; frozen reference graph,simulated adopted-edge recall 0.90,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,0.8494424560566293,,pairwise same-family recall,not_applicable,140427,178561,100, Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_FN,imperfect_inference_recall_0_90_pairwise_recall,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,rate
,,2948.15,2799.85,LMD full universe; frozen reference graph,simulated adopted-edge recall 0.50,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,2880.01,,residual known cross-split families,not_applicable,140427,178561,100,95% interval is empirical across simulation seeds. Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_FN,imperfect_inference_recall_0_50_residual,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,known family count
,,,,LMD full universe; frozen reference graph,simulated adopted-edge recall 0.50,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,0.35848132619786155,,pairwise same-family recall,not_applicable,140427,178561,100, Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_FN,imperfect_inference_recall_0_50_pairwise_recall,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,rate
,,,,LMD full universe; frozen reference graph,bounded FP injection 0.01,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,1.120065411752691e-06,,split-ratio absolute error,not_applicable,140427,178561,100, Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_FP,imperfect_inference_fp_0_01_split_ratio_error,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,absolute ratio error
,,384.0,379.0,LMD full universe; frozen reference graph,bounded FP injection 0.01,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,381.77,,over-merged components,not_applicable,140427,178561,100,95% interval is empirical across simulation seeds. Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_FP,imperfect_inference_fp_0_01_overmerge_components,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,components
,,,,LMD full universe; frozen reference graph,bounded FP injection 0.01,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,0.9830859641367217,,pairwise relation precision,not_applicable,140427,178561,100, Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_FP,imperfect_inference_fp_0_01_relation_precision,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,rate
,,,,LMD full universe; frozen reference graph,bounded FP injection 0.05,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,1.120065411752691e-06,,split-ratio absolute error,not_applicable,140427,178561,100, Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_FP,imperfect_inference_fp_0_05_split_ratio_error,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,absolute ratio error
,,1942.1,1906.0,LMD full universe; frozen reference graph,bounded FP injection 0.05,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,1921.82,,over-merged components,not_applicable,140427,178561,100,95% interval is empirical across simulation seeds. Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_FP,imperfect_inference_fp_0_05_overmerge_components,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,components
,,,,LMD full universe; frozen reference graph,bounded FP injection 0.05,,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,0.9144479293376686,,pairwise relation precision,not_applicable,140427,178561,100, Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_FP,imperfect_inference_fp_0_05_relation_precision,mitigation_robustness,FORMAL_ROBUSTNESS,Table 6,rate
,,,,LMD full universe; frozen reference graph,adopted-edge recall >= 0.95,bounded FP injection <= 0.01,LMD,,descriptive metric; no signed contrast,descriptive robustness simulation,ROBUSTNESS,EXP_FAMILY_SPLIT_IMPERFECT_INFERENCE,Fig7,main,,,practical conservative region,not_applicable,140427,178561,100,Conservative practical simulation region; not a claim about real detector recall. Simulation under frozen reference graph; reference graph is not complete real-world ground truth. Simulated adopted-edge recall is not real detector recall.,,,CPU-only frozen-reference-graph robustness simulation,NO,,RF_IMPERFECT_INFERENCE_SCOPE,imperfect_inference_practical_conservative_region,mitigation_robustness,PRACTICAL_CONSERVATIVE_REGION,Table 6,qualitative operating region
